concept_id	concept_name
MAA.af3.6	可靠性
MAA.af3.7	可维护性
MAA.af4	优先级确定、折衷分析、风险分析和效果分析
MAA.af5	可追踪性
MAA.af6	形式化分析
MAA.rfd	需求基础 
MAA.rfd1	需求定义
MAA.rfd1.1	产品
MAA.rfd1.2	项目
MAA.rfd1.3	限制
MAA.rfd1.4	系统边界
MAA.rfd1.5	外部
MAA.rfd1.6	内部
MAA.rfd2	需求过程
MAA.rfd3	需求的层／级
MAA.rfd3.1	需要
MAA.rfd3.2	目标
MAA.rfd3.3	用户需求
MAA.rfd3.4	系统需求
MAA.rfd3.5	软件需求
MAA.rfd4	需求特性
MAA.rfd4.1	可测试性
MAA.rfd4.2	无二义性
MAA.rfd4.3	一致性
MAA.rfd4.4	正确性
MAA.rfd4.5	可理解性
MAA.rfd4.6	可追踪性
MAA.rfd4.7	优先级
MAA.rfd5	管理需求变更
MAA.rfd6	需求管理
MAA.rfd7	需求和体系结构之间的交互
MAA.rfd8	需求与系统工程、人性化设计等的关系
MAA.rfd9	缺陷问题
MAA.rfd9.1	病态结构问题
MAA.rfd9.2	多重方案问题
MAA.rfd10	作为限制的COTS
MAA.er	获取需求 
MAA.er1	获取来源
MAA.er2	获取技术
MAA.er2.1	访谈
MAA.er2.2	问卷调查
MAA.er2.3	原型
MAA.er2.4	用例
MAA.er2.5	观察
MAA.er2.6	参与技术
MAA.er3	高级技术
MAA.er3.1	人文
MAA.er3.2	知识获取
MAA.rsd	需求规格说明与文档 
MAA.rsd1	需求文档基础
MAA.rsd1.1	类型
MAA.rsd1.2	受众
MAA.rsd1.3	结构
MAA.rsd1.4	质量
MAA.rsd1.5	属性
MAA.rsd1.6	标准
MAA.rsd2	软件需求规格说明
MAA.rsd3	规格说明语言
MAA.rsd3.1	结构化描述
MAA.rsd3.2	UML
MAA.rv	需求验证 
MAA.rv1	评审和检查
MAA.rv2	原型验证
MAA.rv3	确认测试设计
MAA.rv4	确认产品质量属性
MAA.rv5	形式化需求分析
DES	软件设计 
DES.con	设计概念 
DES.con1	设计的定义
DES.con2	基本设计问题
DES.con2.1	持久数据
DES.con2.2	存储管理
DES.con2.3	例外
DES.con3	软件开发生命周期中的设计环境
DES.con4	设计原则
DES.con4.1	信息隐藏
DES.con4.2	内聚与耦合
DES.con5	设计和需求之间的交互
DES.con6	质量属性设计
DES.con6.1	可靠性
DES.con6.2	可用性
DES.con6.3	性能
DES.con6.4	可测试性
DES.con6.5	容错
DES.con7	设计折衷
DES.con8	体系结构风格、模式、复用
DES.str	设计策略 
DES.str1	面向功能的设计
DES.str2	面向对象的设计
DES.str3	以数据结构为中心的设计
DES.str4	面向方面的设计
DES.ar	体系结构设计 
DES.ar1	体系结构风格
DES.ar1.1	管道与过滤器
DES.ar1.2	分层
DES.ar1.3	以事务为中心
DES.ar1.4	点对点
DES.ar1.5	出版－订阅架构
DES.ar1.6	基于事件
DES.ar1.7	客户－服务器
DES.ar2	多属性中的体系结构折衷
DES.ar3	软件体系结构中的硬件问题
DES.ar4	软件体系结构中的需求可追踪性
DES.ar5	特定领域的体系结构和产品线
DES.ar6	体系结构表示
DES.dd	详细设计 
DES.dd1	设计方法
DES.dd1.1	SSA／SD
DES.dd1.2	JSD
DES.dd1.3	OOD
DES.dd2	设计模式
DES.dd3	组件设计
DES.dd4	组件和系统接口设计
DES.dd5	设计表示
DES.hci	人机界面设计 
DES.hci1	通用人机界面设计原则
DES.hci2	模式和导航的应用
DES.hci3	编程技术与可视化设计
DES.hci3.1	颜色
DES.hci3.2	图标
DES.hci3.3	字体
DES.hci3.4	布局
DES.hci4	响应时间和反馈
DES.hci5	设计形式
DES.hci5.1	菜单驱动
DES.hci5.2	表单
DES.hci5.3	问答
DES.hci6	本地化和国际化
DES.hci7	人机界面设计方法
DES.hci8	多媒体
DES.hci9	隐喻和概念模型
DES.hci10	人机界面心理学
DES.ste	设计支持工具与评价 
DES.ste1	设计支持工具
DES.ste2	设计属性度量
DES.ste3	设计标准
DES.ste4	形式化设计分析
VAV	软件验证与确认 
VAV.fnd	验证与确认的术语和基础
VAV.fnd1	验证与确认的目标和限制
VAV.fnd2	验证与确认效果规划
VAV.fnd3	编写验证与确认策略文档
VAV.fnd4	标准和度量
VAV.fnd5	生命周期不同阶段的验证与确认
VAV.rev	评审 
VAV.rev1	桌面验证
VAV.rev2	走读
VAV.rev3	检查
VAV.tst	测试 
VAV.tst1	单元测试
VAV.tst2	异常处理
VAV.tst3	覆盖分析和基于结构的测试
VAV.tst4	黑盒功能测试
VAV.tst5	集成测试
VAV.tst6	基于用例开发测试用例
VAV.tst7	基于操作层面的测试
VAV.tst8	系统和确认测试
VAV.tst9	质量属性测试
VAV.tst9.1	可用性
VAV.tst9.2	安全性
VAV.tst9.3	兼容性
VAV.tst9.4	性能
VAV.tst9.5	可访问性
VAV.tst9.6	可靠性
VAV.tst10	回归测试
VAV.tst11	测试工具
VAV.tst12	发布过程
VAV.hct	人机交互界面测试与评价 
VAV.hct1	有效性和可用性的各个方面
VAV.hct2	启发式评价
VAV.hct3	感知式走查
VAV.hct4	用户测试方法
VAV.hct5	Web可用性
VAV.hct6	测试特定人机界面假定的规范实验
VAV.par	问题分析与报告 
VAV.par1	分析错误包括
VAV.par2	调试／错误隔离技术
VAV.par3	缺陷分析
VAV.par4	问题追踪
EVO	软件演化 
EVO.pro	演化过程 
EVO.pro1	演化和维护的基本概念
EVO.pro2	演化实体间的关系
EVO.pro3	软件演化模型
EVO.pro4	演化成本模型
EVO.pro5	演化规划
EVO.ac	演化活动 
EVO.ac1	使用遗留系统
EVO.ac2	程序理解和逆向工程
EVO.ac3	系统和过程的再创建
EVO.ac4	影响分析
EVO.ac5	移植
EVO.ac6	重构
EVO.ac7	程序转换
EVO.ac8	数据逆向工程
PRO	软件过程 
PRO.con	过程概念 
PRO.con1	主题与术语
PRO.con2	软件工程过程基础设施
PRO.con3	软件过程建模与规格说明
PRO.con4	软件过程度量与分析
PRO.con5	软件工程过程改进
PRO.con6	质量分析和控制
PRO.con6.1	缺陷预防
PRO.con6.2	评审过程
PRO.con6.3	质量标准
PRO.con6.4	根源分析
PRO.con7	软件过程模型分析和建模
PRO.imp	过程实现 
PRO.imp1	过程定义的层次
PRO.imp2	生命周期模型
PRO.imp2.1	敏捷
PRO.imp2.2	瀑布
PRO.imp2.3	螺旋
PRO.imp2.4	V模型
PRO.imp2.5	迭代
PRO.imp3	生命周期过程模型与标准
PRO.imp4	个体软件过程
PRO.imp5	小组软件过程
PRO.imp6	过程裁剪
PRO.imp7	软件生命周期过程需求
QUA	软件质量 
QUA.cc	软件质量概念与文化 
QUA.cc1	质量定义
QUA.cc2	社会对质量的关注
QUA.cc3	质量缺陷的成本与影响
QUA.cc4	质量模型的成本
QUA.cc5	软件质量属性
QUA.cc6	质量工程范围
QUA.cc7	人、过程、方法、工具和技术的角色
QUA.std	软件质量标准 
QUA.std1	ISO9000
QUA.std2	ISO／IEEE12207
QUA.std3	标准的组织实现
QUA.std4	IEEE软件质量相关标准
QUA.pro	软件质量过程 
QUA.pro1	软件质量模型与标准
QUA.pro2	软件过程模型的质量相关方面
QUA.pro3	ISO15504和SEI CMM的概述
QUA.pro4	ISO15504的质量相关过程域
QUA.pro5	软件工程Baldridge奖的标准
QUA.pro6	其他过程模型的质量因素
QUA.pca	过程保证 
QUA.pca1	过程保证的本质
QUA.pca2	质量计划
QUA.pca3	过程保证的组织与报告
QUA.pca4	过程保证技术
QUA.pda	产品保证 
QUA.pda1	产品保证的本质
QUA.pda2	保证和“验证与确认”的区别
QUA.pda3	质量产品模型
QUA.pda4	根源分析和缺陷预防
QUA.pda5	质量产品标准和度量
QUA.pda6	产品质量属性的评估
MGT	软件管理 
MGT.con	管理概念
MGT.con1	通用项目管理
MGT.con2	经典管理模型
MGT.con3	项目管理角色
MGT.con4	企业／组织管理结构
MGT.con5	软件管理类型
MGT.con5.1	采购
MGT.con5.2	风险
MGT.con5.3	成本
MGT.con5.4	开发
MGT.con5.5	维护
MGT.con5.6	项目
MGT.pp	项目计划 
MGT.pp1	评估和计划
MGT.pp2	工作分解结构
MGT.pp3	任务进度
MGT.pp4	效果评估
MGT.pp5	资源分配
MGT.pp6	风险管理
MGT.per	项目人员与组织 
MGT.per1	组织结构、职位、职责和权利
MGT.per2	正式／非正式沟通
MGT.per3	项目人员管理
MGT.per4	人员培训、职业发展和评价
MGT.per5	会议管理
MGT.per6	建设和激励团队
MGT.per7	冲突解决
MGT.ctl	项目控制 
MGT.ctl1	变更控制
MGT.ctl2	监控和报告
MGT.ctl3	结果度量与分析
MGT.ctl4	改正和回复
MGT.ctl5	奖励与惩罚
MGT.ctl6	绩效标准
MGT.cm	软件配置管理 
MGT.cm1	版本控制
MGT.cm2	发布管理
MGT.cm3	工具支持
MGT.cm4	生成
MGT.cm5	软件配置管理过程
MGT.cm6	维护问题
MGT.cm7	发行和备份
SAS	特定系统领域与应用  
SAS.net	网络系统 
SAS.net1	Web技术
SAS.net2	网络深入研究
SAS.net3	安全深入研究
SAS.inf	信息系统和数据处理
SAS.inf1	数据库
SAS.inf2	业务管理
SAS.inf3	数据仓库
SAS.inf4	数据挖掘
SAS.inf5	搜索
SAS.fin	金融与电子商务系统 
SAS.fin1	会计
SAS.fin2	金融
SAS.fin3	安全
SAS.sur	容错与自救系统 
SAS.sur1	异构分布式系统
SAS.sur2	安全
SAS.sur3	故障分析
SAS.sur4	入侵检测
SAS.sec	高安全性系统 
SAS.sec1	与安全相关的业务问题
SAS.sec2	安全弱化与风险
SAS.sec3	密码学、密码分析学
SAS.sec4	网络技术深入研究
SAS.sfy	安全重要系统 
SAS.sfy1	形式化方法、正确性证明
SAS.sfy2	控制系统知识
SAS.sfy3	失效模式、影响分析和故障树分析
SAS.emb	嵌入式实时系统 
SAS.emb1	嵌入式系统硬件
SAS.emb2	开发语言和工具
SAS.emb3	定时问题
SAS.emb4	硬件验证
SAS.bio	生物医学系统 
SAS.bio1	生物学和相关科学
SAS.bio2	相关的安全重要系统知识
SAS.sci	科学系统 
SAS.sci1	相关科学的知识
SAS.sci2	统计学
SAS.sci3	可视化与图形学
SAS.tel	电信系统 
SAS.tel1	信号、信息理论
SAS.tel2	电话和电信协议
SAS.av	航空电子与车载系统
SAS.av1	机械工程
SAS.av2	相关的安全重要系统知识
SAS.av3	相关的嵌入式和实时系统知识
SAS.ind	工业过程控制系统 
SAS.ind1	控制系统
SAS.ind2	工业过程和其他相关领域工程
SAS.ind3	相关的嵌入式和实时系统知识
SAS.mm	多媒体、游戏和娱乐系统 
SAS.mm1	可视化、触觉和图形学
SAS.mm2	人机界面设计
SAS.mm3	网络知识
SAS.mob	小型移动平台系统 
SAS.mob1	无线技术
SAS.mob2	小型移动平台人机界面研究
SAS.mob3	相关的嵌入式和实时系统知识
SAS.mob4	相关的电信系统知识
SAS.sb	基于代理的系统 
SAS.sb1	机器学习 
SAS.sb2	模糊逻辑
SAS.sb3	知识工程
